"","ProcessName","Metric","Description","Units","Value","StdDev","ProcessGroup"
"311","Membrane Stripping and Absorption","Effluent N concentration","Combined N and P recovery tank with aeration only; after 5-6 days","mg/L N",69,7.41619848709566,"Stripping and Absorption"
"312","Membrane Stripping and Absorption","N removal rate","Combined N and P recovery tank with aeration only; after 5-6 days","kg N/m^3/d",NA,0,"Stripping and Absorption"
"313","Methanotrophic Single Cell Protein Production","NH3-NH4 removal efficiency","% of Ammonium removed from feed chamber to collection chamber for 28 mg/L NH4-N (minimum)","%",65.5,44.9139918807788,"Methanotrophic Single Cell Protein Production"
"314","Methanotrophic Single Cell Protein Production","TN removal efficiency","By PPB (maximum) for dairy wastewater; estimated from Figure 2","%",8,16.6332999331662,"Methanotrophic Single Cell Protein Production"
"315","Methanotrophic Single Cell Protein Production","TP removal efficiency","By PPB (maximum) for pork wastewater; estimated from Figure 2","%",11.5,18.8591268797542,"Methanotrophic Single Cell Protein Production"
"316","Methanotrophic Single Cell Protein Production","PO4 removal efficiency","By PPB (maximum) for red meat processing wastewater; estimated from Figure 2","%",36.5,44.5832554516454,"Methanotrophic Single Cell Protein Production"
"317","Methanotrophic Single Cell Protein Production","Effluent NH3-NH4 concentration","After 96 hours of PPB treating poultry processing wastewater (best performance of all wastewaters tested); Estimated from Figure 1","mg/L N",20,0,"Methanotrophic Single Cell Protein Production"
"318","Methanotrophic Single Cell Protein Production","Effluent PO4 concentration","After 96 hours of PPB treating poultry processing wastewater (best performance of all wastewaters tested); Estimated from Figure 1","mg/L P",11,0,"Methanotrophic Single Cell Protein Production"
"319","Methanotrophic Single Cell Protein Production","TN recovery efficiency","Chlorella sorokiniana","%",63.3333333333333,18.8215302247187,"Methanotrophic Single Cell Protein Production"
"320","Methanotrophic Single Cell Protein Production","TP recovery efficiency","Chlorella sorokiniana","%",57.6666666666667,11.3026545554573,"Methanotrophic Single Cell Protein Production"
"321","Microalgae with Bacteria","N removal efficiency","Reported for single as well as co-cultured systems of activated sludge and the microalgae C. vulgaris, where R = inoculum ratio = activated sludge/C. vulgaris (C. vulgaris alone, after 84 h)","%",67.3,20.0959818085229,"Bacterial-algal flocs"
"322","Microalgae with Bacteria","P removal efficiency","Reported for single as well as co-cultured systems of activated sludge and the microalgae (C. vulgaris alone, after 36 h)","%",92.2222222222222,7.74758026741253,"Bacterial-algal flocs"
"323","Microalgae with Microbial Fuel Cell","NH3-NH4 removal efficiency","Removal rate of total ammonium of the IPB system: The ratio of the difference between the ammonium concentration in the anode influent and effluent to the ammonium concentration in the anode influent","%",85.9,21.439651738465,"Microbial Fuel Cell"
"324","Microalgae with Microbial Fuel Cell","TN removal efficiency","Removal rate of total nitrogen of the IPB system: The ratio of the difference between the total nitrogen concentration in the anode influent and effluent to the total nitrogen concentration in the anode influent","%",63,0,"Microbial Fuel Cell"
"325","Microalgae with Microbial Fuel Cell","PO4 removal efficiency","Removal rate of phosphate of the IPB system: The ratio of the difference between the phosphate concentration in the anode influent and effluent to the phosphate concentration in the anode influent","%",82.3,0,"Microbial Fuel Cell"
"326","Microalgae with Microbial Fuel Cell","TP removal efficiency","TP removal rate after 40 hours: The ratio of the difference between the TP concentration in the influent and effluent to the COD concentration in the influent at the 40th hour during batch incubation in SMFC","%",75,30.7774267930248,"Microbial Fuel Cell"
"327","Microalgae with Microbial Fuel Cell","Effluent NH3-NH4 concentration","After 3 days of microalgae cultivation in SMFC effluent","mg/L N",0.46,0,"Microbial Fuel Cell"
"328","Microalgae with Microbial Fuel Cell","Effluent TP concentration","After 3 days of microalgae cultivation in SMFC effluent","mg/L P",0.14,0,"Microbial Fuel Cell"
"329","Microalgal Processes","NH3-NH4 removal efficiency","Ammonia; Municipal wastewater with Chlorella sp. (not specifically defined in this paper)","%",91.15,5.25534648397863,"Suspended microalgae"
"330","Microalgal Processes","TN removal efficiency","Municipal wastewater with Chlorella sp. (not specifically defined in this paper)","%",87,3.15000000000038,"Suspended microalgae"
"331","Microalgal Processes","P removal efficiency","Municipal wastewater with Chlorella sp. (not specifically defined in this paper)","%",81.5,15.5091102259285,"Suspended microalgae"
"332","Microalgal Processes","N removal rate","Municipal wastewater with Chlamydomonas reinhardtii (not specifically defined in this paper)","kg N/m^3/d",NA,0,"Suspended microalgae"
"333","Microalgal Processes","P removal rate","Municipal wastewater with Chlamydomonas reinhardtii (not specifically defined in this paper)","kg P/m^3/d",NA,0,"Suspended microalgae"
"334","Microalgal Processes","TP removal efficiency","Removal rate of total phosphorus from raw centrate; The ratio of total phosphorus reduction at the end of a 14-dat batch culture to the initial concentration of total phosphorus","%",80.9,0,"Suspended microalgae"
"335","Microalgal Processes","NO3 removal efficiency","Ratio of the concentration difference of NO3-N before and after the aeration tank to the initial concentration (effluent from aeration tank)","%",62.5,0,"Suspended microalgae"
"336","Microalgal Processes","N removal efficiency","Ratio of the concentration difference of N before and after tests to the initial concentration (poultry wastewater)","%",91,5.3851648071345,"Suspended microalgae"
"337","Microalgal Processes","PO4 removal efficiency","Ratio of the concentration difference of PO4-P before and after tests to the initial concentration (dairy wastewater)","%",80,3.87298334620742,"Suspended microalgae"
"338","Microbial Desalination Cell","NH3-NH4 removal efficiency","Ratio of the difference between the initial and final concentration to the initial concentration in the continuous stirred tank reactor (CSTR)","%",88.9666666666667,8.69655104049881,"Bio-electrodialysis"
"339","Microbial Desalination Cell","NH3-NH4 recovery efficiency","Ratio of the ammonia mass in SMDC to the ammonia mass in the influent of CSTR","%",87.9,0,"Bio-electrodialysis"
"340","Microbial Desalination Cell","NH3-NH4 recovery flux","Cathode salt concentration of 0.02 M Na; Test Ref1 (Table 3) (minimum)","kg N/m^2/d",0.080445,3.07826404555663,"Bio-electrodialysis"
"341","Microbial Desalination Cell","Energy consumption for N recovery","Net energy production from SMDC; Electric energy output + NH3 energy equic  aeration energy (see Table 2)","MJ/kg N",-34.29,0,"Bio-electrodialysis"
"342","Microbial Electrolysis Cell (MEC)","NH3-NH4 recovery rate","Ammonia","kg N/m^3/d",NA,NA,"Microbial Electrolysis Cell"
"343","Microbial Electrolysis Cell (MEC)","Energy consumption for N recovery","Net energy demand for ammonia recovery; 85 mL reactor, applied voltage of 0.5 V, acetate wastewater, 393 mg/L NH4-N","MJ/kg N",19.215,14.9972196364992,"Microbial Electrolysis Cell"
"344","Microbial Electrolysis Cell (MEC)","NH3-NH4 removal rate","Initial ammonium; Anode HRT of 2 hours (Exp. B)","kg N/m^3/d",NA,NA,"Microbial Electrolysis Cell"
"345","Microbial Electrolysis Cell (MEC)","NH3-NH4 removal efficiency","Ammonium; Anode HRT of 2 hours (Exp. B)","%",46.96,25.1411515249401,"Microbial Electrolysis Cell"
"346","Microbial Electrolysis Cell with Anaerobic Osmotic Membrane Bioreactor","N recovery efficiency","Nitrogen recovered in the MRC recovery solution compared to the influent (minimum)","%",36.5,9.81495457622364,"Microbial Electrolysis Cell"
"347","Microbial Electrolysis Cell with Anaerobic Osmotic Membrane Bioreactor","PO4 removal efficiency","Removal of phosphate; for both MEC and MRC operation; greater than value listed","%",99,0,"Microbial Electrolysis Cell"
"348","Microbial Electrolysis Cell with Anaerobic Osmotic Membrane Bioreactor","PO4 recovery efficiency","PO4-P recovery through the MRC nutrient recovery solution (minimum)","%",53,13.856406460551,"Microbial Electrolysis Cell"
"349","Microbial Electrolysis Cell with Gas Permeable Membrane and Struvite Formation","NH3-NH4 removal efficiency","Undiluted urine; Across CEM","%",31,3.60555127546399,"Microbial Electrolysis Cell"
"350","Microbial Electrolysis Cell with Gas Permeable Membrane and Struvite Formation","NH3-NH4 recovery efficiency","Undiluted urine; Amount of TAN recovered in the trap chamber normalized to the amount of TAN in the influent","%",31,7.68114574786861,"Microbial Electrolysis Cell"
"351","Microbial Electrolysis Cell with Gas Permeable Membrane and Struvite Formation","Energy consumption for N removal","Undiluted urine; Electrical energy calculated as: {i * V * t}/{J*10^6}Where J refers to the flux of TAN across the CEM in the system, i is the average current density, and V is the cell voltage.","MJ/kg N",4.9,1,"Microbial Electrolysis Cell"
"352","Microbial Electrolysis Cell with Gas Permeable Membrane and Struvite Formation","Effluent PO4 concentration","Phosphate from MAP reactor, not MEC","mg/L P",6.5,1.54919333848297,"Microbial Electrolysis Cell"
"353","Microbial Electrolysis Cell with Gas Permeable Membrane","NH3-NH4 recovery efficiency","Describes the part of TAN in the influent that is recovered as a final product (Kuntke et al., 2016)","%",36.25,11.2583302491977,"Microbial Electrolysis Cell"
"354","Microbial Electrolysis Cell with Gas Permeable Membrane","NH3-NH4 removal rate","Describes the rate at which TAN is removed from the influent with respect to the membrane area of the (B)ES (Kuntke et al., 2016)","kg N/m^3/d",NA,NA,"Microbial Electrolysis Cell"
"355","Microbial Electrolysis Cell with Gas Permeable Membrane","Energy consumption for N removal","Specific energy input required to recover or remove TAN (Kuntke et al., 2016)","MJ/kg N",6.66,3.11769145362398,"Microbial Electrolysis Cell"
"356","Microbial Electrolysis Cell with Stripping and Absorption","Energy consumption for N recovery","Negative sign indicates net energy generation due to hydrogen production (Minimum)","MJ/kg N",-14.112,29.0351814872923,"Microbial Electrolysis Cell"
"357","Microbial Electrolysis Cell with Stripping and Absorption","NH3-NH4 recovery efficiency","Minimum","%",71.7,29.4427410408746,"Microbial Electrolysis Cell"
"358","Microbial Electrolysis Cell with Stripping and Absorption","NH3-NH4 recovery flux","for continuous (as reported by Gildemyn et al., 2015)","kg N/m^2/d",NA,0,"Microbial Electrolysis Cell"
"359","Microbial Electrolysis Struvite-Precipitation Cell (MESC)","PO4 removal efficiency","Phosphate; At 1.05 V applied voltage, for stainless steel mesh cathode (maximum)","%",NA,NA,"Microbial Electrolysis Cell"
"360","Microbial Fuel Cell (MFC) with Stripping and Absorption","N removal flux","Maximum; at organic loading rate of 11.5 g COD/L-d and ammonia loading rate of 7.4 g NH4-N/L-d; HRT of 5.8 and 9.0 hours in anode and cathode, respectively","kg N/m^2/d",NA,NA,"Microbial Fuel Cell"
"361","Microbial Fuel Cell (MFC) with Stripping and Absorption","Energy consumption for N recovery","At optimized aeration rate of 100 mL/min an applied voltage of 0.8 V","MJ/kg N",9.91028571428571,12.3457722318209,"Microbial Fuel Cell"
"362","Microbial Fuel Cell (MFC) with Stripping and Absorption","N recovery efficiency","Ammonia; Urine after P recovery; batch mode; reported by (Kuntke, 2013)","%",47.09,37.5696583029444,"Microbial Fuel Cell"
"363","Microbial Fuel Cell (MFC) with Stripping and Absorption","NH3-NH4 recovery flux","Ammonia; Urine after P recovery; batch mode; reported by (Kuntke, 2013)","kg N/m^2/d",NA,NA,"Microbial Fuel Cell"
"364","Microbial Fuel Cell (MFC) with Stripping and Absorption","NH3-NH4 recovery efficiency","Ammonia; Synthetic wastewater; continuous mode; reported by (Gildemyn et al., 2015)","%",51,0.707106781186548,"Microbial Fuel Cell"
"365","Microbial Fuel Cell (MFC) with Stripping and Absorption","N recovery flux","Synthetic digestate; continuous mode; reported by (Zhang and Angelidaki, 2015)","kg N/m^2/d",NA,NA,"Microbial Fuel Cell"
"366","Microbial Fuel Cell (MFC)","NH3-NH4 removal efficiency","Ammonia","%",68,0,"Microbial Fuel Cell"
"367","Microbial Fuel Cell (MFC)","Effluent NH3-NH4 concentration","Average effluent ammonia concentration (final)","mg/L N",8.2,2.64575131106459,"Microbial Fuel Cell"
"368","Microbial Fuel Cell (MFC)","Effluent NO3 concentration","Average effluent nitrate concentration (final)","mg/L N",18.3,2.44948974278318,"Microbial Fuel Cell"
"369","Microbial Fuel Cell (MFC)","Effluent NO2 concentration","Average effluent nitrite concentration (final)","mg/L N",0.9,1,"Microbial Fuel Cell"
"370","Microbial Fuel Cell (MFC)","Effluent TP concentration","Total phosphorus","mg/L P",4.3,1,"Microbial Fuel Cell"
"371","Microbial Fuel Cell (MFC)","P removal efficiency","","%",20,0,"Microbial Fuel Cell"
"372","Microbial Fuel Cell with Bioanode and Biocathode","Effluent NH3-NH4 concentration","Average effluent ammonium, measure of complete denitrification","mg/L N",0.35,0.509901951359279,"Microbial Fuel Cell"
"373","Microbial Fuel Cell with Bioanode and Biocathode","NO2-NO3 removal rate","Maximum denitrification rate observed during the study based on the volume of NCC","kg N/m^3/d",NA,NA,"Microbial Fuel Cell"
"374","Microbial Fuel Cell with Cathodic Denitrification","NO3 removal rate","Denitrification rate observed in the R2 reactor at 5 ohms resistance (maximum)","kg N/m^3/d",0.253,0.836130771271257,"Microbial Fuel Cell"
"375","Microbial Fuel Cell with Cathodic Denitrification","TN removal efficiency","Total nitrogen removal efficiency observed in the R2 reactor at 5 ohms resistance (maximum)","%",44.35,26.6221712112292,"Microbial Fuel Cell"
"376","Microbial Fuel Cell with Cathodic Denitrification","Energy consumption for N removal","Energy produced per N removed at 5 ohms resistance","MJ/kg N",-7.45341614906832,4.74839376756513,"Microbial Fuel Cell"
"377","Microbial Fuel Cell with Osmotic Membrane Bioreactor","PO4 removal efficiency","Phosphate rejection by the OMBR membrane, Runs 1 (MFC and OMBR, no sludge dosing, no daily cleaning) and 2 (MFC and OMBR, no sludge dosing, daily membrane cleaning) ; greater than value listed","%",99,0,"Microbial Fuel Cell"
"378","Microbial Fuel Cell with Struvite Formation","Cost for P recovery","Production Cost of struvite precipitated with SeaMix; no mention of source","$/kg P",1230.10078624475,1096.76304365052,"Microbial Fuel Cell"
"379","Microbial Photoelectrotrophic Denitrification","TN removal efficiency","Ratio of finial total nitrogen concentration to initial total nitrogen concentration","%",17.1,1.04880884817015,"Microbial Electrolysis Cell"
"380","Microbial Photoelectrotrophic Denitrification","NO3 removal rate","Initial; Not clearly defined in this literature","kg N/m^3/d",0.0675,1.18321595661992,"Microbial Electrolysis Cell"
"381","Modified Ludzack-Ettinger (MLE)","Effluent TN concentration","Effluent total nitrogen goal, case 4 and 5","mg/L N",11,5.70379990298865,"Conventional NDN"
"382","Modified Ludzack-Ettinger (MLE)","N removal efficiency","Fraction of nitrogen removed through IFAS system (Feb 2008  June 2009) (average)","%",65,21.7025344142107,"Conventional NDN"
"383","Modified Ludzack-Ettinger (MLE)","Effluent NH3-NH4 concentration","Average effluent ammonia from IFAS system (Feb 2008  June 2009)","mg/L N",1.6,0,"Conventional NDN"
"384","Modified Ludzack-Ettinger (MLE)","Effluent NO3 concentration","Average effluent nitrate from IFAS system (June 2008  Jan 2009)","mg/L N",9.8,0,"Conventional NDN"
"385","Modified Ludzack-Ettinger (MLE)","Effluent NO2 concentration","Average effluent nitrite from IFAS system (June 2008  Jan 2009)","mg/L N",0.2,0,"Conventional NDN"
"386","Modified Ludzack-Ettinger (MLE)","NO3 removal efficiency","Fraction of nitrate removed by denitrification (June 2008  Jan 2009)","%",54,0,"Conventional NDN"
"387","Modified University of Capetown (Modified UCT)","Effluent NH3-NH4 concentration","Effluent ammonia concentration, Hardenberg","mg/L N",0.8,0.812403840463596,"Conventional EBPR"
"388","Modified University of Capetown (Modified UCT)","Effluent NO2-NO3 concentration","Effluent nitrate and nitrite, Hardenberg","mg/L N",4,1.62685791225499,"Conventional EBPR"
"389","Modified University of Capetown (Modified UCT)","Effluent TN concentration","Effluent total nitrogen concentration, Hardenberg","mg/L N",5.9,1.40237893119751,"Conventional EBPR"
"390","Modified University of Capetown (Modified UCT)","Effluent TP concentration","Effluent total phosphorus concentration, Hardenberg","mg/L P",0.55,0.345506874027131,"Conventional EBPR"
"391","Modified University of Capetown (Modified UCT)","Effluent PO4 concentration","Effluent phosphate concentration, Hardenberg","mg/L P",0.55,0.191485421551267,"Conventional EBPR"
"392","Nanofiltration","NH3-NH4 recovery efficiency","Ammonium rejection observed from the flat sheet membranes (synthetic feed, minimum)","%",78.25,12.4230967690561,"Membrane filtration"
"393","Nanofiltration","PO4 recovery efficiency","Phosphate rejection observed from the flat sheet membranes (synthetic feed, minimum)","%",61.75625,42.3909651762192,"Membrane filtration"
"394","Nanofiltration","Effluent NH3-NH4 concentration","Ammonia in permeate (Figure 3) based on rejection percentage (synthetic feed, minimum)","mg/L N",73.75,32.736320298205,"Membrane filtration"
"395","Nanofiltration","Effluent PO4 concentration","Phosphate in permeate (Figure 3) based on rejection percentage (synthetic feed, minimum)","mg/L P",6.75,2.11344899788631,"Membrane filtration"
"396","Nanofiltration","NH3-NH4 removal efficiency","Ammonium removal rate originally reported by Pronk et al., 2006","%",55,0,"Membrane filtration"
"397","Nanofiltration","PO4 removal efficiency","Phosphate removal rate originally reported by Pronk et al., 2006","%",72,25.4034118443435,"Membrane filtration"
"398","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","NO3 removal rate","Around Day 500 (Stage 2)","kg N/m^3/d",0.085,0.0757575078787575,"Denitrifying Anaerobic Methane Oxidation"
"399","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","NH3-NH4 removal rate","Around Day 500 (Stage 2)","kg N/m^3/d",0.0542666666666667,0.031815247916683,"Denitrifying Anaerobic Methane Oxidation"
"400","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","TN removal rate","Around Day 500 (Stage 2)","kg N/m^3/d",NA,NA,"Denitrifying Anaerobic Methane Oxidation"
"401","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","Effluent NH3-NH4 concentration","Around Day 500 (Stage 2)","mg/L N",44.1,56.9429319582334,"Denitrifying Anaerobic Methane Oxidation"
"402","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","Effluent NO3 concentration","Around Day 500 (Stage 2)","mg/L N",13.3333333333333,12.6861144563653,"Denitrifying Anaerobic Methane Oxidation"
"403","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","N removal flux","Around Day 500 (Stage 2)","kg N/m^2/d",0.000113,0,"Denitrifying Anaerobic Methane Oxidation"
"404","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","NO3 removal flux","Stable performance after Day 360 (Stage 1)","kg N/m^2/d",1.3e-05,0,"Denitrifying Anaerobic Methane Oxidation"
"405","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","Effluent NO2 concentration","Average during Continuous Phase 1","mg/L N",0.3,0,"Denitrifying Anaerobic Methane Oxidation"
"406","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","TN removal efficiency","For Batch Test A (HRT 9hr). Minimum","%",92.35,2.30304146727795,"Denitrifying Anaerobic Methane Oxidation"
"407","Nitrite-dependent Anaerobic Methane Oxidation (N-DAMO)","NO2 removal efficiency","For Batch Test A (HRT 9hr)","%",97.8,0,"Denitrifying Anaerobic Methane Oxidation"
"408","Nitrite Shunt or Nitritation-Denitritation","N removal efficiency","Fraction of nitrogen removed from influent","%",67.0769230769231,29.5898550826043,"Nitrite Shunt"
"409","Nitrite Shunt or Nitritation-Denitritation","Cost for N removal","Taken from previous assessment","$/kg N",NA,NA,"Nitrite Shunt"
"410","Nitrite Shunt or Nitritation-Denitritation","TIN removal efficiency","Phase 2; TIN","%",68,0,"Nitrite Shunt"
"411","Nitrite Shunt or Nitritation-Denitritation","PO4 removal efficiency","Phase 2; PO4","%",91,0,"Nitrite Shunt"
"412","Nitrite Shunt or Nitritation-Denitritation","NH3-NH4 removal rate","Phase 2","kg N/m^3/d",0.154466666666667,12.0003024666047,"Nitrite Shunt"
"413","Nitrite Shunt or Nitritation-Denitritation","TKN removal rate","Phase 2","kg N/m^3/d",0.054,5.3851648071345,"Nitrite Shunt"
"414","Nitrite Shunt or Nitritation-Denitritation","Effluent TP concentration","Total phosphorus; Phase 2","mg/L P",0.4,0.707106781186548,"Nitrite Shunt"
"415","Nitrite Shunt or Nitritation-Denitritation","Effluent PO4 concentration","Phosphate; Phase 2","mg/L P",0.1,0.447213595499958,"Nitrite Shunt"
"416","Nitrite Shunt or Nitritation-Denitritation","Effluent NO2 concentration","Phase 2","mg/L N",3.65,2.11817531537563,"Nitrite Shunt"
"417","Nitrite Shunt or Nitritation-Denitritation","Effluent NO3 concentration","Phase 2","mg/L N",0.8,0.707106781186548,"Nitrite Shunt"
"418","Nitrite Shunt or Nitritation-Denitritation","Effluent NH3-NH4 concentration","Phase 2","mg/L N",3.66666666666667,2.54159679841518,"Nitrite Shunt"
"419","Nitrite Shunt or Nitritation-Denitritation","Effluent TKN concentration","Phase 2","mg/L N",2.8,1.09544511501033,"Nitrite Shunt"
"420","Nitrite Shunt or Nitritation-Denitritation","P removal rate","Phase 2; total P","kg P/m^3/d",NA,1.6431676725155,"Nitrite Shunt"
"421","Nitrite Shunt or Nitritation-Denitritation","NH3-NH4 removal efficiency","Percent of nitrified influent ammonia, stage A","%",84.6,9.11957601353637,"Nitrite Shunt"
"422","Nitrite Shunt or Nitritation-Denitritation","NO3 removal efficiency","Percent of nitrified nitrogen that was denitrified in the system, stage A","%",75,10.9544511501033,"Nitrite Shunt"
"423","Nitrite Shunt or Nitritation-Denitritation","NO2-NO3 removal flux","Average denitrification rate from nitrate/nitrite to N2 gas, start up","kg N/m^2/d",NA,NA,"Nitrite Shunt"
"424","Nitrite Shunt or Nitritation-Denitritation","Effluent TN concentration","Benchmark of how well system removed nitrogen and converted to N2 gas; Below value listed for average nitrogen loadings of 0.33 and 0.29 g N/m2*d, average influent sCOD of 68 mg/L (Stages C or D)","mg/L N",7,0,"Nitrite Shunt"
"425","Nitrite Shunt or Nitritation-Denitritation","N removal flux","Average nitrification rate","kg N/m^2/d",0.00145,0.173205860177997,"Nitrite Shunt"
"426","Orbal Process","TN removal efficiency","Total nitrogen removal through the entire plant (Elmwood and Hammonton; not reported for other WWTPs) (minimum)","%",87.5,2.88675134594813,"Simultaneous NDN"
"427","Osmotic Microbial Electrolysis Cell","Effluent NH3-NH4 concentration","Ammonia concentration in anode effluent (MEC-FO)","mg/L N",NA,0.173205080756888,"Microbial Electrolysis Cell"
"428","Osmotic Microbial Electrolysis Cell","NH3-NH4 recovery efficiency","Ratio of ammonia recovered in the heat recovery unit at 80 C to the total amount of ammonia (MEC-FO) [not clearly defined in literature, my idea]","%",71.3,15.2541797550703,"Microbial Electrolysis Cell"
"429","Osmotic Microbial Electrolysis Cell","NH3-NH4 recovery rate","MEC-FO","kg N/m^3/d",0.434831199068685,0.2,"Microbial Electrolysis Cell"
"430","Osmotic Microbial Electrolysis Cell","Energy consumption for N recovery","MEC only; includes external power supply, aeration in cathode, and anolyte recirculation","MJ/kg N",11.286,8.16842506239728,"Microbial Electrolysis Cell"
"431","Osmotic Microbial Electrolysis Cell","NH3-NH4 removal efficiency","Ammonia removal efficiency in MEC (open-loop mode)","%",73.3,1.37840487520902,"Microbial Electrolysis Cell"
"432","Osmotic Microbial Electrolysis Cell","P recovery efficiency","Overall phosphorus recovery efficiency in MEC-FO system","%",79.5,0.707106781186548,"Microbial Electrolysis Cell"
"433","Osmotic Microbial Electrolysis Cell","Energy consumption for N removal","Net energy consumption (removed NH4+-N), with recovered hydrogen energy deducted normalized by unit removed NH4+-N in MEC-FO system","MJ/kg N",3.96,0.223606797749979,"Microbial Electrolysis Cell"
"434","Osmotic Microbial Electrolysis Cell","Energy consumption for P recovery","Net energy consumption (struvite), with recovered hydrogen energy deducted normalized by unit struvite produced in MEC-FO system","MJ/kg P",164.0292864062,0.734846922834953,"Microbial Electrolysis Cell"
"435","Osmotic Microbial Fuel Cell","NH3-NH4 removal efficiency","Ratio of removed ammonium to the ammonium in the influent; OsMFC with 2 g L-1 NaCl","%",53.2,20.6268595121345,"Microbial Fuel Cell"
"436","Oxygenic Photogranule","NH3-NH4 removal efficiency","The ratio of the ammonia concentration difference in the effluent and influent to the ammonia concentration in the influent for the 9-day operation (after one-month operation, minimum)","%",93,3.46410161513775,"Bacterial-algal flocs"
"437","Oxygenic Photogranule","P removal efficiency","The ratio of the average phosphorus concentration difference in the effluent and influent to the phosphorus concentration in the influent (average)","%",21,3.3166247903554,"Bacterial-algal flocs"
"438","Ozonation","Effluent NH3-NH4 concentration","Minimum when varying Br/N ratio","mg/L N",5,0.577350269189626,"Oxidation Processes"
"439","Ozonation","NO2 removal efficiency","Nitrite conversion to nitrate at steady state in ozonator","%",100,0,"Oxidation Processes"
"440","Partial Denitrification-Anammox","N removal rate","Daily mass of nitrogen removed normalized by reactor volume","kg N/m^3/d",0.88,4.47213595499958,"Partial Denitrification-Anammox"
"441","Partial Denitrification-Anammox","NH3-NH4 removal efficiency","","%",84.0222222222222,8.23971419407242,"Partial Denitrification-Anammox"
"442","Partial Denitrification-Anammox","NO3 removal efficiency","","%",93.2111111111111,4.68953942301384,"Partial Denitrification-Anammox"
"443","Partial Denitrification-Anammox","NO2 removal efficiency","","%",97,2.44948974278318,"Partial Denitrification-Anammox"
"444","Partial Denitrification-Anammox","TN removal efficiency","","%",87.9555555555555,6.20025563989111,"Partial Denitrification-Anammox"
"445","Partial Nitritation-Anammox","NH3-NH4 removal rate","Time Averaged Ammonium conversion; After day 530; greater than value reported","kg N/m^3/d",0.0155296856810244,0,"Partial Nitritation-Anammox"
"446","Partial Nitritation-Anammox","N removal rate","Maximum volumetric Nitrogen conversion Rate; Greater than value reported","kg N/m^3/d",NA,NA,"Partial Nitritation-Anammox"
"447","Partial Nitritation-Anammox","Effluent NH3-NH4 concentration","For Bergen op Zoom plant; less than value listed","mg/L N",67.5611111111111,58.6162938705676,"Partial Nitritation-Anammox"
"448","Partial Nitritation-Anammox","Effluent NO3 concentration","For Bergen op Zoom plant; less than value listed","mg/L N",36.9285714285714,35.4675171491785,"Partial Nitritation-Anammox"
"449","Partial Nitritation-Anammox","Effluent NO2 concentration","For Olburgen plant; less than value listed","mg/L N",15.2086956521739,30.7759338779607,"Partial Nitritation-Anammox"
"450","Partial Nitritation-Anammox","Effluent PO4 concentration","For Olburgen plant; less than value listed","mg/L P",48.75,60.8139238442426,"Partial Nitritation-Anammox"
"451","Partial Nitritation-Anammox","Energy consumption for N removal","For Apeldoorn (DEMON)","MJ/kg N",5.82545454545455,3.21788787871797,"Partial Nitritation-Anammox"
"452","Partial Nitritation-Anammox","NH3-NH4 removal efficiency","During Stage 1 (Between days 128  190)","%",85.6857142857143,10.2466254607716,"Partial Nitritation-Anammox"
"453","Partial Nitritation-Anammox","TN removal efficiency","During Stage 2 (Between days 190  220)","%",84.1,4.32357876455766,"Partial Nitritation-Anammox"
"454","Partial Nitritation-Anammox","TN removal rate","During summer temperatures (23.2 +/- 1.3 deg C)","kg N/m^3/d",NA,NA,"Partial Nitritation-Anammox"
"455","Partial Nitritation-Anammox","Effluent N concentration","Effluent concentration without polishing","mg/L N",5,0,"Partial Nitritation-Anammox"
"456","Partial Nitritation-Anammox","N removal efficiency","Average with SRT of 100 days","%",84.5,4.09878030638384,"Partial Nitritation-Anammox"
"457","Partial Nitritation-Anammox","Effluent TN concentration","","mg/L N",3,0,"Partial Nitritation-Anammox"
"458","Partial Nitritation-Anammox","NO2 removal efficiency","R1 at HRTs longer than 0.39 hour (std deviation estimated from Figure 2A)","%",78.6,16.6365060434376,"Partial Nitritation-Anammox"
"459","Particulate Pyrite Autotrophic Denitrification (PPAD)","NO3 removal rate","Nitrate removal rate, untreated microcosms, minimum","kg N/m^3/d",0.003145,5.19615242270581e-05,"Sulfur-based nutrient removal"
"460","Particulate Pyrite Autotrophic Denitrification (PPAD)","Effluent NO3 concentration","Nitrate as nitrogen, initial in untreated microcosms","mg/L N",NA,NA,"Sulfur-based nutrient removal"
"461","Particulate Pyrite Autotrophic Denitrification (PPAD)","Effluent NO2 concentration","Nitrite as nitrogen, initial in untreated microcosms","mg/L N",1.005,1.75349175456668,"Sulfur-based nutrient removal"
"462","Particulate Pyrite Autotrophic Denitrification (PPAD)","Effluent NH3-NH4 concentration","Ammonia as nitrogen, initial in untreated microcosms","mg/L N",NA,NA,"Sulfur-based nutrient removal"
